Total Loss,PDE Loss,IC1 Loss,IC2 Loss,BC Loss,lambda PDE,lambda IC1,lambda IC2,lambda BC,Learning Rate
0.00574202955145477,0.0047731693484820426,0.008558790548704565,0.0025558169872965664,0.0026479286170797423,0.33015542964414746,0.33223273440123086,0.12136969872413433,0.21624175170355261,0.00977363571796781
0.004925127726043491,0.003035649802768603,0.007195161830168217,0.002496673769201152,0.0033068240445572883,0.18874910196454076,0.4690570565134878,0.16044878365209247,0.1817444233769894,0.009900864399798056
0.005215743194564685,0.005800311919301748,0.0067714996985159814,0.002927199093392119,0.0035072247846983373,0.2866978357302161,0.3677460992749662,0.13110892603941257,0.21444661346015997,0.009976567980610092
0.003953256677064467,0.002340656836167909,0.005464969668537378,0.002672123344382271,0.002602553053293377,0.16534614827873423,0.4825047052559368,0.1977847029511893,0.1543636276657408,0.009999984067396083
0.0033724113192866645,0.003358182802912779,0.004961568862199783,0.0015712751483079046,0.0018848921754397452,0.2997980015459546,0.3613107329839019,0.1274177303689672,0.21147282333341633,0.0099943831341543
0.0035478975327487045,0.0031779023847775534,0.0051285988301970065,0.0019352024100953713,0.0018880606512539089,0.24464981146788944,0.40053099180467683,0.15184440967629406,0.2029740811917606,0.009978724218223307
0.00261690100756237,0.0020694445993285626,0.0027280276408419013,0.002193174004787579,0.003881492739310488,0.17462197080538236,0.3431361415561556,0.18764214068096374,0.2945987485456007,0.00995303885457586
0.0033752304275383,0.0024829885514918715,0.004866062809014693,0.001593420878634788,0.00206979489303194,0.22282329955098004,0.45325744952412206,0.15453825254427483,0.16938015088853448,0.009917378770116071
0.00604065806905044,0.004864720162004232,0.009628073195926845,0.0030641819539596327,0.004418118507601321,0.37042352861591343,0.24455524457655242,0.11426770186221195,0.2707532578469111,0.0098718157795083
0.002138482307306778,0.002224915908300318,0.0024592829577159137,0.0010925407914328389,0.002026971080340445,0.25132623807429344,0.3749989782765368,0.1405002381474698,0.23317310635296085,0.009816441640551994
0.004616318580815092,0.0039008285966701806,0.007462433190084994,0.001757680409355089,0.0024252470320789143,0.23365825531339718,0.43272075316456976,0.13216239224240406,0.20145806780026168,0.00975136786939367
0.0018777608733692762,0.0014903661503922194,0.0027775886992458254,0.0006039751569915097,0.001133074052631855,0.24853875844922338,0.463742828143394,0.10056160563763829,0.1871552541792135,0.009676725515948255
0.0020829534408565043,0.001411988225299865,0.0031986120447982103,0.0009907933927024715,0.0009003470695461147,0.16361011407120934,0.5199779471483794,0.14444718978273055,0.17196341596196282,0.009592664899981987
0.001611434588298038,0.002485546821844764,0.0014876349887344986,0.0006822713003202807,0.001370641271932982,0.300112851906439,0.30593929900346134,0.13881028462720446,0.25513556914124363,0.009499355308388413
